Date,Ingredients,Quantity Sold,Expiry Date,Promotion
2024-04-02,"Tea, Flour",256,2024-06-01,50% Off Clearance
2024-04-03,"Cardamom, Tomato Sauce",487,2024-05-03,50% Off Clearance
2024-04-04,"Cheese, Nuts",497,2024-06-03,Free Shipping
2024-04-05,Lemon,277,2024-04-12,Bundle Deal
2024-04-06,Cardamom,54,2024-05-06,Seasonal Offer
2024-04-07,"Spices, Coffee Beans",381,2024-06-06,10% Off
2024-04-08,Vanilla,201,2024-06-07,Flash Sale
2024-04-09,"Ice Cream, Cinnamon",187,2024-05-09,Loyalty Discount
2024-04-10,Eggs,169,2024-04-24,5% Off
2024-04-11,"Milk, Eggs",139,2024-04-25,Seasonal Offer
2024-04-12,Tortilla,226,2024-04-27,Seasonal Offer
2024-04-13,Pasta Sauce,81,2024-05-13,Seasonal Offer
2024-04-14,Cinnamon,99,2024-05-14,New Year Sale
2024-04-15,"Cinnamon, Fruits, Nuts",315,2024-06-14,Seasonal Offer
2024-04-16,"Vegetables, Vanilla",188,2024-06-15,Flash Sale
2024-04-17,"Tortilla, Beans, Lemon, Berries",425,2024-05-17,5% Off
2024-04-18,"Pineapple, Vanilla",121,2024-06-17,50% Off Clearance
2024-04-19,"Nuts, Cinnamon, Green Tea, Chocolate",298,2024-06-18,Loyalty Discount
2024-04-20,"Cinnamon, Eggs, Spices",333,2024-06-19,Buy 1 Get 1
2024-04-21,Vegetables,500,2024-04-28,New Year Sale
2024-04-22,"Vegetables, Ice Cream, Sugar, Cream",356,2024-06-21,Buy 1 Get 1
2024-04-23,"Cream, Cinnamon, Lemon, Ice Cream",381,2024-05-23,Bundle Deal
2024-04-24,Vegetables,245,2024-05-01,Free Shipping
2024-04-25,"Tortilla, Almond Milk, Beans, Sugar",308,2024-06-24,50% Off Clearance
2024-04-26,"Nuts, Tea, Vegetables, Herbal Leaves",301,2024-06-25,50% Off Clearance
2024-04-27,"Cardamom, Milk",284,2024-05-27,Buy 1 Get 1
2024-04-28,Pineapple,134,2024-05-05,New Year Sale
2024-04-29,"Pasta Sauce, Berries, Spices, Milk",483,2024-06-28,Seasonal Offer
2024-04-30,"Cream, Vanilla, Cinnamon, Sugar",187,2024-06-29,New Year Sale
2024-05-01,"Fruits, Butter",72,2024-05-15,Flash Sale
2024-05-02,Tea,469,2024-06-01,5% Off
2024-05-03,"Almond Milk, Herbal Leaves, Orange, Pasta Sauce",83,2024-06-02,Free Shipping
2024-05-04,Berries,132,2024-05-11,Free Shipping
2024-05-05,"Pineapple, Lemon, Mint, Coffee Beans",234,2024-06-04,Flash Sale
2024-05-06,"Fruits, Berries",269,2024-05-13,New Year Sale
2024-05-07,"Pasta Sauce, Cinnamon, Cheese, Lemon",288,2024-06-06,Bundle Deal
2024-05-08,"Flour, Berries, Sugar",57,2024-07-07,Flash Sale
2024-05-09,"Pasta Sauce, Lemon",334,2024-06-08,50% Off Clearance
2024-05-10,"Cream, Tea, Butter",281,2024-06-09,Seasonal Offer
2024-05-11,"Almond Milk, Herbal Leaves, Mint, Pineapple",429,2024-06-10,Seasonal Offer
2024-05-12,Brownie,305,2024-05-22,Loyalty Discount
2024-05-13,"Nuts, Vanilla, Cheese",366,2024-07-12,New Year Sale
2024-05-14,Pineapple,469,2024-05-21,50% Off Clearance
2024-05-15,"Tortilla, Herbal Leaves",202,2024-06-14,Free Shipping
2024-05-16,"Coffee Beans, Beans, Herbal Leaves",108,2024-06-15,50% Off Clearance
2024-05-17,"Lemon, Flour, Cream",74,2024-07-16,Buy 1 Get 1
2024-05-18,"Tortilla, Orange",380,2024-06-02,5% Off
2024-05-19,"Cheese, Butter",91,2024-06-02,50% Off Clearance
2024-05-20,"Vanilla, Butter, Vegetables, Ice Cream",274,2024-07-19,Flash Sale
2024-05-21,"Tomato Sauce, Cinnamon, Beans",399,2024-06-20,Buy 1 Get 1
2024-05-22,Cinnamon,83,2024-06-21,New Year Sale
2024-05-23,"Vegetables, Coffee Beans, Milk",452,2024-06-22,New Year Sale
2024-05-24,"Pineapple, Cardamom",443,2024-06-23,Buy 1 Get 1
2024-05-25,"Spices, Tortilla, Nuts",360,2024-07-24,Flash Sale
2024-05-26,"Tortilla, Cardamom, Eggs",134,2024-06-25,10% Off
2024-05-27,Beans,475,2024-06-26,50% Off Clearance
2024-05-28,"Butter, Berries, Cheese",258,2024-06-11,5% Off
2024-05-29,"Tortilla, Sugar",280,2024-07-28,Buy 1 Get 1
2024-05-30,"Almond Milk, Cinnamon, Eggs",253,2024-06-29,Bundle Deal
2024-05-31,Herbal Leaves,160,2024-06-30,Bundle Deal
2024-06-01,"Cheese, Cinnamon, Cream, Sugar",363,2024-07-31,Free Shipping
2024-06-02,"Butter, Cinnamon, Berries",95,2024-07-02,Bundle Deal
2024-06-03,"Tomato Sauce, Tea",481,2024-07-03,5% Off
2024-06-04,"Cream, Sugar, Butter",310,2024-08-03,Buy 1 Get 1
2024-06-05,"Ice Cream, Flour",387,2024-08-04,Loyalty Discount
2024-06-06,"Tomato Sauce, Pineapple",55,2024-07-06,5% Off
2024-06-07,"Brownie, Lemon, Vegetables, Cheese",435,2024-06-21,New Year Sale
2024-06-08,"Milk, Cardamom, Fruits",64,2024-07-08,New Year Sale
2024-06-09,"Fruits, Tomato Sauce",67,2024-07-09,New Year Sale
2024-06-10,"Pineapple, Spices, Milk",317,2024-08-09,Bundle Deal
2024-06-11,Pineapple,226,2024-06-18,Buy 1 Get 1
2024-06-12,"Tortilla, Green Tea, Coffee Beans",248,2024-07-12,Free Shipping
2024-06-13,"Mint, Spices, Cardamom, Lemon",116,2024-08-12,5% Off
2024-06-14,"Green Tea, Eggs, Vanilla, Vegetables",355,2024-08-13,Flash Sale
2024-06-15,"Eggs, Brownie, Fruits",82,2024-06-29,Seasonal Offer
2024-06-16,"Tomato Sauce, Pasta Sauce, Tea, Vanilla",354,2024-08-15,Seasonal Offer
2024-06-17,"Tortilla, Spices, Cardamom, Chocolate",206,2024-08-16,Bundle Deal
2024-06-18,"Herbal Leaves, Eggs, Lemon, Cheese",66,2024-07-18,5% Off
2024-06-19,"Cardamom, Almond Milk, Pineapple, Mint",494,2024-07-19,Free Shipping
2024-06-20,"Butter, Coffee Beans, Orange, Lemon",333,2024-07-20,5% Off
2024-06-21,"Flour, Almond Milk",412,2024-08-20,5% Off
2024-06-22,"Pasta Sauce, Spices",424,2024-08-21,Seasonal Offer
2024-06-23,"Coffee Beans, Brownie",265,2024-07-23,50% Off Clearance
2024-06-24,Pineapple,89,2024-07-01,Flash Sale
2024-06-25,"Pineapple, Cream",443,2024-07-02,Loyalty Discount
2024-06-26,Cheese,387,2024-07-10,Loyalty Discount
2024-06-27,Brownie,479,2024-07-07,50% Off Clearance
2024-06-28,"Brownie, Vegetables, Orange",173,2024-07-08,Seasonal Offer
2024-06-29,Ice Cream,388,2024-07-29,10% Off
2024-06-30,"Almond Milk, Milk, Cinnamon, Flour",109,2024-08-29,Buy 1 Get 1
2024-07-01,"Tomato Sauce, Tortilla, Pasta Sauce",187,2024-07-31,50% Off Clearance
2024-07-02,"Coffee Beans, Mint, Butter, Chocolate",498,2024-08-31,50% Off Clearance
2024-07-03,"Mint, Herbal Leaves, Sugar",311,2024-09-01,Free Shipping
2024-07-04,"Milk, Cheese",54,2024-07-18,Bundle Deal
2024-07-05,"Tea, Cinnamon, Butter, Brownie",74,2024-08-04,New Year Sale
2024-07-06,Cream,292,2024-07-13,Buy 1 Get 1
2024-07-07,"Butter, Pasta Sauce",101,2024-08-06,Free Shipping
2024-07-08,"Pineapple, Fruits, Vegetables, Orange",283,2024-07-15,New Year Sale
2024-07-09,"Vegetables, Lemon",466,2024-07-16,50% Off Clearance
2024-07-10,"Fruits, Flour, Spices, Coffee Beans",441,2024-09-08,Seasonal Offer
2024-07-11,"Almond Milk, Berries",231,2024-07-25,50% Off Clearance
2024-07-12,"Cream, Chocolate, Almond Milk",375,2024-09-10,5% Off
2024-07-13,"Eggs, Milk, Coffee Beans",357,2024-08-12,Buy 1 Get 1
2024-07-14,"Nuts, Green Tea, Cardamom",248,2024-09-12,Loyalty Discount
2024-07-15,"Vegetables, Brownie, Flour, Nuts",87,2024-09-13,Bundle Deal
2024-07-16,"Fruits, Tortilla",465,2024-07-31,5% Off
2024-07-17,"Coffee Beans, Flour, Pasta Sauce, Cardamom",193,2024-09-15,New Year Sale
2024-07-18,Lemon,313,2024-07-25,Flash Sale
2024-07-19,"Chocolate, Orange",286,2024-09-17,50% Off Clearance
2024-07-20,"Cinnamon, Berries, Vanilla, Brownie",353,2024-09-18,Flash Sale
2024-07-21,"Nuts, Cream, Milk, Berries",447,2024-09-19,10% Off
2024-07-22,"Nuts, Pineapple, Sugar, Tomato Sauce",207,2024-09-20,Bundle Deal
2024-07-23,"Green Tea, Tomato Sauce",62,2024-08-22,Flash Sale
2024-07-24,"Chocolate, Cinnamon",437,2024-09-22,Loyalty Discount
2024-07-25,"Almond Milk, Cinnamon, Vegetables",216,2024-08-24,10% Off
2024-07-26,Mint,348,2024-08-02,10% Off
2024-07-27,Cheese,326,2024-08-10,50% Off Clearance
2024-07-28,"Lemon, Nuts, Green Tea",207,2024-09-26,New Year Sale
2024-07-29,Sugar,390,2024-09-27,10% Off
2024-07-30,"Almond Milk, Coffee Beans",235,2024-08-29,Loyalty Discount
2024-07-31,Fruits,210,2024-08-07,10% Off
2024-08-01,"Nuts, Fruits",225,2024-09-30,Buy 1 Get 1
2024-08-02,Spices,442,2024-10-01,Flash Sale
2024-08-03,"Butter, Berries, Eggs, Ice Cream",185,2024-09-02,Free Shipping
2024-08-04,"Cream, Vegetables, Orange",343,2024-08-11,Bundle Deal
2024-08-05,"Pineapple, Milk",156,2024-08-12,Free Shipping
2024-08-06,"Pasta Sauce, Tomato Sauce, Cardamom",361,2024-09-05,Bundle Deal
2024-08-07,"Chocolate, Pineapple",102,2024-10-06,Buy 1 Get 1
2024-08-08,Nuts,250,2024-10-07,10% Off
2024-08-09,"Berries, Lemon",495,2024-08-16,New Year Sale
2024-08-10,"Green Tea, Nuts, Cream, Coffee Beans",296,2024-10-09,Bundle Deal
2024-08-11,"Cinnamon, Herbal Leaves, Coffee Beans, Milk",419,2024-09-10,Loyalty Discount
2024-08-12,Milk,125,2024-08-19,10% Off
2024-08-13,"Brownie, Tortilla, Vanilla, Vegetables",247,2024-10-12,50% Off Clearance
2024-08-14,"Brownie, Flour",169,2024-10-13,Flash Sale
2024-08-15,"Flour, Butter",206,2024-10-14,5% Off
2024-08-16,"Coffee Beans, Green Tea",186,2024-09-15,5% Off
2024-08-17,"Flour, Tomato Sauce, Fruits",75,2024-10-16,Loyalty Discount
2024-08-18,"Milk, Vegetables, Spices",264,2024-10-17,Loyalty Discount
2024-08-19,"Fruits, Tea, Cream, Brownie",393,2024-09-18,Buy 1 Get 1
2024-08-20,"Berries, Green Tea, Tomato Sauce, Spices",498,2024-10-19,Flash Sale
2024-08-21,"Almond Milk, Vanilla, Flour, Cinnamon",299,2024-10-20,Free Shipping
2024-08-22,"Pineapple, Cardamom, Vanilla",279,2024-10-21,10% Off
2024-08-23,Chocolate,477,2024-10-22,5% Off
2024-08-24,"Green Tea, Sugar, Nuts",374,2024-10-23,Bundle Deal
2024-08-25,"Lemon, Milk, Mint",283,2024-09-01,Bundle Deal
2024-08-26,"Herbal Leaves, Pasta Sauce",244,2024-09-25,Loyalty Discount
2024-08-27,"Cinnamon, Butter, Milk, Cream",417,2024-09-26,Loyalty Discount
2024-08-28,"Pasta Sauce, Herbal Leaves, Cheese",154,2024-09-27,Bundle Deal
2024-08-29,"Orange, Spices, Chocolate",252,2024-10-28,Seasonal Offer
2024-08-30,"Lemon, Vanilla, Orange, Mint",294,2024-10-29,Free Shipping
2024-08-31,"Cinnamon, Fruits, Cream, Tortilla",365,2024-09-30,Free Shipping
2024-09-01,"Tortilla, Pineapple",243,2024-09-16,Free Shipping
2024-09-02,"Nuts, Cream",449,2024-11-01,Flash Sale
2024-09-03,"Cinnamon, Nuts",479,2024-11-02,50% Off Clearance
2024-09-04,"Fruits, Tortilla, Coffee Beans, Almond Milk",229,2024-10-04,Loyalty Discount
2024-09-05,Berries,485,2024-09-12,Seasonal Offer
2024-09-06,"Herbal Leaves, Tomato Sauce, Flour",428,2024-11-05,Buy 1 Get 1
2024-09-07,Pasta Sauce,210,2024-10-07,Buy 1 Get 1
2024-09-08,"Cream, Tea",404,2024-10-08,Loyalty Discount
2024-09-09,"Vanilla, Ice Cream, Herbal Leaves",362,2024-11-08,10% Off
2024-09-10,"Cheese, Sugar, Vegetables",355,2024-11-09,Buy 1 Get 1
2024-09-11,Berries,254,2024-09-18,10% Off
2024-09-12,Orange,171,2024-09-19,50% Off Clearance
2024-09-13,Brownie,188,2024-09-23,Free Shipping
2024-09-14,Almond Milk,311,2024-09-28,50% Off Clearance
2024-09-15,Tomato Sauce,177,2024-10-15,50% Off Clearance
2024-09-16,Orange,253,2024-09-23,50% Off Clearance
2024-09-17,"Orange, Tea",93,2024-10-17,New Year Sale
2024-09-18,Milk,179,2024-09-25,Bundle Deal
2024-09-19,"Tortilla, Cardamom, Ice Cream, Cheese",301,2024-10-19,Seasonal Offer
2024-09-20,"Almond Milk, Chocolate, Sugar",428,2024-11-19,Buy 1 Get 1
2024-09-21,"Sugar, Tomato Sauce, Butter",59,2024-11-20,Flash Sale
2024-09-22,Pineapple,146,2024-09-29,Buy 1 Get 1
2024-09-23,"Milk, Ice Cream, Coffee Beans, Orange",351,2024-10-23,New Year Sale
2024-09-24,Orange,455,2024-10-01,Buy 1 Get 1
2024-09-25,"Sugar, Nuts, Milk",196,2024-11-24,Seasonal Offer
2024-09-26,"Tortilla, Mint, Tomato Sauce, Sugar",267,2024-11-25,Bundle Deal
2024-09-27,"Mint, Flour, Eggs",300,2024-11-26,Loyalty Discount
2024-09-28,Coffee Beans,174,2024-10-28,10% Off
2024-09-29,"Milk, Fruits, Cheese, Beans",140,2024-10-29,Loyalty Discount
2024-09-30,"Mint, Cardamom, Almond Milk",201,2024-10-30,10% Off
2024-10-01,"Cream, Milk, Ice Cream, Coffee Beans",218,2024-10-31,Flash Sale
2024-10-02,"Almond Milk, Lemon",247,2024-10-16,Bundle Deal
2024-10-03,"Tortilla, Green Tea",317,2024-11-02,Free Shipping
2024-10-04,"Orange, Cheese",110,2024-10-18,Bundle Deal
2024-10-05,"Milk, Nuts, Cream, Spices",289,2024-12-04,Seasonal Offer
2024-10-06,"Brownie, Nuts",455,2024-12-05,Seasonal Offer
2024-10-07,"Cheese, Lemon",130,2024-10-21,Bundle Deal
2024-10-08,"Milk, Chocolate",130,2024-12-07,Bundle Deal
2024-10-09,"Coffee Beans, Pasta Sauce, Tomato Sauce, Green Tea",238,2024-11-08,5% Off
2024-10-10,"Chocolate, Cardamom",463,2024-12-09,Free Shipping
2024-10-11,Lemon,86,2024-10-18,Loyalty Discount
2024-10-12,"Cream, Tortilla, Ice Cream",458,2024-11-11,Free Shipping
2024-10-13,"Milk, Tomato Sauce, Mint",337,2024-11-12,Buy 1 Get 1
2024-10-14,"Tea, Cream, Pineapple, Fruits",113,2024-11-13,50% Off Clearance
2024-10-15,"Brownie, Spices, Herbal Leaves, Cardamom",481,2024-12-14,Free Shipping
2024-10-16,"Vegetables, Tomato Sauce, Cinnamon",386,2024-11-15,Seasonal Offer
2024-10-17,"Herbal Leaves, Eggs, Ice Cream",465,2024-11-16,New Year Sale
2024-10-18,"Vegetables, Eggs, Berries",157,2024-11-01,New Year Sale
2024-10-19,"Cheese, Green Tea, Cinnamon",486,2024-11-18,5% Off
2024-10-20,"Tortilla, Nuts, Berries",326,2024-12-19,10% Off
2024-10-21,"Chocolate, Flour, Spices",304,2024-12-20,Seasonal Offer
2024-10-22,"Tomato Sauce, Beans, Pineapple",393,2024-11-21,Flash Sale
2024-10-23,"Tortilla, Coffee Beans",56,2024-11-22,Free Shipping
2024-10-24,Fruits,282,2024-10-31,Flash Sale
2024-10-25,Berries,207,2024-11-01,5% Off
2024-10-26,"Chocolate, Flour, Brownie",461,2024-12-25,5% Off
2024-10-27,"Cheese, Nuts",325,2024-12-26,Buy 1 Get 1
2024-10-28,Ice Cream,404,2024-11-27,Flash Sale
2024-10-29,"Eggs, Brownie, Beans, Mint",132,2024-11-28,Loyalty Discount
2024-10-30,Nuts,267,2024-12-29,Bundle Deal
2024-10-31,"Lemon, Chocolate, Pasta Sauce, Fruits",181,2024-12-30,10% Off
2024-11-01,"Brownie, Tea",384,2024-12-01,Loyalty Discount
2024-11-02,Vegetables,58,2024-11-09,Bundle Deal
2024-11-03,Sugar,350,2025-01-02,New Year Sale
2024-11-04,"Fruits, Berries, Spices, Beans",104,2025-01-03,Loyalty Discount
2024-11-05,"Pasta Sauce, Butter, Ice Cream, Orange",456,2024-12-05,Free Shipping
2024-11-06,"Eggs, Lemon",80,2024-11-20,5% Off
2024-11-07,Vanilla,96,2025-01-06,10% Off
2024-11-08,"Milk, Chocolate, Pineapple",329,2025-01-07,Seasonal Offer
2024-11-09,Pineapple,408,2024-11-16,Buy 1 Get 1
2024-11-10,"Sugar, Tomato Sauce",178,2025-01-09,5% Off
2024-11-11,"Flour, Ice Cream, Eggs, Tea",462,2025-01-10,Buy 1 Get 1
2024-11-12,"Almond Milk, Pineapple, Tortilla, Brownie",101,2024-11-27,5% Off
2024-11-13,"Eggs, Cinnamon, Beans",260,2024-12-13,New Year Sale
2024-11-14,"Tomato Sauce, Berries",226,2024-12-14,10% Off
2024-11-15,"Lemon, Cardamom",365,2024-12-15,Loyalty Discount
2024-11-16,"Berries, Beans, Orange, Pasta Sauce",190,2024-12-16,Seasonal Offer
2024-11-17,"Flour, Nuts, Butter, Herbal Leaves",340,2025-01-16,Buy 1 Get 1
2024-11-18,"Spices, Sugar",262,2025-01-17,Flash Sale
2024-11-19,"Brownie, Eggs, Pasta Sauce",208,2024-12-19,10% Off
2024-11-20,"Cheese, Mint, Spices, Pasta Sauce",132,2025-01-19,Loyalty Discount
2024-11-21,"Flour, Brownie, Cream",112,2025-01-20,Flash Sale
2024-11-22,"Eggs, Tomato Sauce, Pineapple, Herbal Leaves",263,2024-12-22,Bundle Deal
2024-11-23,"Milk, Nuts, Fruits",471,2025-01-22,Loyalty Discount
2024-11-24,"Cheese, Herbal Leaves",71,2024-12-24,Loyalty Discount
2024-11-25,"Sugar, Fruits, Milk",91,2025-01-24,50% Off Clearance
2024-11-26,"Tomato Sauce, Vegetables",400,2024-12-26,Flash Sale
2024-11-27,"Tomato Sauce, Beans, Vanilla",205,2025-01-26,50% Off Clearance
2024-11-28,Vegetables,180,2024-12-05,Loyalty Discount
2024-11-29,"Berries, Cheese, Almond Milk, Spices",223,2025-01-28,Loyalty Discount
2024-11-30,"Sugar, Flour, Almond Milk, Coffee Beans",357,2025-01-29,Loyalty Discount
2024-12-01,"Pasta Sauce, Herbal Leaves, Tomato Sauce, Milk",199,2024-12-31,Free Shipping
2024-12-02,"Chocolate, Tea, Brownie",227,2025-01-31,10% Off
2024-12-03,"Beans, Brownie, Green Tea",401,2025-01-02,Seasonal Offer
2024-12-04,"Mint, Pineapple, Spices, Flour",457,2025-02-02,Free Shipping
2024-12-05,"Butter, Green Tea",263,2025-01-04,Bundle Deal
2024-12-06,"Pineapple, Fruits",490,2024-12-13,New Year Sale
2024-12-07,"Beans, Cardamom",250,2025-01-06,Seasonal Offer
2024-12-08,"Coffee Beans, Vegetables, Almond Milk",124,2025-01-07,New Year Sale
2024-12-09,Cheese,130,2024-12-23,Bundle Deal
2024-12-10,"Fruits, Coffee Beans, Tea, Almond Milk",133,2025-01-09,Buy 1 Get 1
2024-12-11,"Almond Milk, Butter, Cream",461,2024-12-25,5% Off
2024-12-12,"Tortilla, Milk, Brownie",292,2024-12-27,Loyalty Discount
2024-12-13,"Chocolate, Milk",286,2025-02-11,50% Off Clearance
2024-12-14,"Flour, Pasta Sauce, Brownie, Nuts",56,2025-02-12,Free Shipping
2024-12-15,"Beans, Tortilla, Berries",278,2025-01-14,10% Off
2024-12-16,Cinnamon,469,2025-01-15,Buy 1 Get 1
2024-12-17,Beans,391,2025-01-16,50% Off Clearance
2024-12-18,"Green Tea, Beans, Coffee Beans",164,2025-01-17,Buy 1 Get 1
2024-12-19,"Chocolate, Berries, Green Tea, Beans",460,2025-02-17,Flash Sale
2024-12-20,"Tomato Sauce, Cinnamon, Flour",437,2025-02-18,Bundle Deal
2024-12-21,"Coffee Beans, Beans, Ice Cream",231,2025-01-20,Seasonal Offer
2024-12-22,Cheese,106,2025-01-05,5% Off
2024-12-23,"Vegetables, Herbal Leaves, Brownie",446,2025-01-22,Flash Sale
2024-12-24,"Herbal Leaves, Pineapple, Cheese, Tomato Sauce",263,2025-01-23,10% Off
2024-12-25,"Tortilla, Tomato Sauce, Cream",386,2025-01-24,New Year Sale
2024-12-26,Mint,155,2025-01-02,Seasonal Offer
2024-12-27,"Flour, Vanilla, Almond Milk",74,2025-02-25,Flash Sale
2024-12-28,Eggs,330,2025-01-11,Bundle Deal
2024-12-29,"Butter, Sugar, Lemon, Mint",108,2025-02-27,Bundle Deal
2024-12-30,"Cream, Almond Milk, Vanilla",129,2025-02-28,Flash Sale
2024-01-01,"Vanilla, Flour, Sugar",139,2024-03-01,New Year Sale
2024-01-02,"Coffee Beans, Brownie, Milk",172,2024-02-01,10% Off
2024-01-03,"Green Tea, Pineapple",128,2024-02-02,Loyalty Discount
2024-01-04,"Vegetables, Berries, Tomato Sauce, Spices",283,2024-03-04,50% Off Clearance
2024-01-05,"Sugar, Milk",58,2024-03-05,New Year Sale
2024-01-06,"Spices, Mint, Flour",400,2024-03-06,Buy 1 Get 1
2024-01-07,"Ice Cream, Eggs",117,2024-02-06,Loyalty Discount
2024-01-08,"Cinnamon, Nuts, Cardamom",104,2024-03-08,Seasonal Offer
2024-01-09,"Vanilla, Almond Milk, Beans, Sugar",453,2024-03-09,Bundle Deal
2024-01-10,"Cinnamon, Tomato Sauce, Green Tea",154,2024-02-09,Seasonal Offer
2024-01-11,"Flour, Coffee Beans, Nuts, Tortilla",214,2024-03-11,5% Off
2024-01-12,"Vegetables, Sugar, Almond Milk",102,2024-03-12,Seasonal Offer
2024-01-13,"Tortilla, Pineapple, Flour, Lemon",134,2024-03-13,Free Shipping
2024-01-14,Eggs,147,2024-01-28,10% Off
2024-01-15,"Pasta Sauce, Vanilla, Ice Cream, Herbal Leaves",87,2024-03-15,Seasonal Offer
2024-01-16,"Tortilla, Almond Milk",494,2024-01-31,Seasonal Offer
2024-01-17,Fruits,145,2024-01-24,Seasonal Offer
2024-01-18,Brownie,153,2024-01-28,Flash Sale
2024-01-19,Almond Milk,388,2024-02-02,Seasonal Offer
2024-01-20,"Spices, Eggs",330,2024-03-20,Seasonal Offer
2024-01-21,"Green Tea, Mint, Orange",360,2024-02-20,Flash Sale
2024-01-22,"Milk, Herbal Leaves",447,2024-02-21,Flash Sale
2024-01-23,"Berries, Tea, Milk",190,2024-02-22,Loyalty Discount
2024-01-24,"Pasta Sauce, Cheese",373,2024-02-23,10% Off
2024-01-25,"Sugar, Vegetables, Tomato Sauce, Brownie",83,2024-03-25,Free Shipping
2024-01-26,Berries,189,2024-02-02,Bundle Deal
2024-01-27,"Fruits, Sugar, Almond Milk, Mint",171,2024-03-27,5% Off
2024-01-28,"Berries, Spices, Cardamom, Flour",312,2024-03-28,50% Off Clearance
2024-01-29,"Mint, Orange, Herbal Leaves, Flour",387,2024-03-29,New Year Sale
2024-01-30,"Chocolate, Coffee Beans, Fruits",480,2024-03-30,10% Off
2024-01-31,Orange,50,2024-02-07,Bundle Deal
2024-02-01,"Butter, Tortilla, Lemon",336,2024-02-16,Flash Sale
2024-02-02,Tea,260,2024-03-03,Buy 1 Get 1
2024-02-03,"Mint, Cardamom, Tea",136,2024-03-04,Free Shipping
2024-02-04,Flour,456,2024-04-04,10% Off
2024-02-05,Vegetables,295,2024-02-12,Seasonal Offer
2024-02-06,Almond Milk,257,2024-02-20,Loyalty Discount
2024-02-07,Orange,186,2024-02-14,Buy 1 Get 1
2024-02-08,"Chocolate, Green Tea, Tortilla, Tea",397,2024-04-08,Flash Sale
2024-02-09,Beans,417,2024-03-10,Flash Sale
2024-02-10,"Flour, Spices",358,2024-04-10,10% Off
2024-02-11,"Nuts, Mint, Tea, Almond Milk",376,2024-04-11,10% Off
2024-02-12,"Eggs, Butter, Herbal Leaves",448,2024-03-13,Flash Sale
2024-02-13,Pasta Sauce,496,2024-03-14,10% Off
2024-02-14,"Pineapple, Coffee Beans",452,2024-03-15,10% Off
2024-02-15,"Brownie, Vegetables, Milk, Green Tea",143,2024-03-16,Buy 1 Get 1
2024-02-16,"Vegetables, Pineapple, Tea, Nuts",320,2024-04-16,New Year Sale
2024-02-17,Vegetables,396,2024-02-24,Seasonal Offer
2024-02-18,Spices,465,2024-04-18,Bundle Deal
2024-02-19,"Coffee Beans, Lemon, Pineapple",65,2024-03-20,5% Off
2024-02-20,Brownie,251,2024-03-01,Loyalty Discount
2024-02-21,"Chocolate, Herbal Leaves, Beans",331,2024-04-21,Bundle Deal
2024-02-22,"Lemon, Tomato Sauce, Chocolate",172,2024-04-22,Buy 1 Get 1
2024-02-23,"Cream, Almond Milk, Mint",126,2024-03-08,Seasonal Offer
2024-02-24,Nuts,315,2024-04-24,Seasonal Offer
2024-02-25,"Ice Cream, Tomato Sauce, Fruits",465,2024-03-26,Buy 1 Get 1
2024-02-26,"Vanilla, Fruits, Herbal Leaves, Butter",444,2024-04-26,Buy 1 Get 1
2024-02-27,"Spices, Cardamom, Nuts",412,2024-04-27,Loyalty Discount
2024-02-28,"Orange, Cardamom, Chocolate",356,2024-04-28,5% Off
2024-02-29,"Lemon, Milk, Mint",262,2024-03-07,New Year Sale
2024-03-01,"Cheese, Vegetables, Chocolate, Tea",426,2024-04-30,Loyalty Discount
2024-03-02,"Pineapple, Cream",409,2024-03-09,5% Off
2024-03-03,"Sugar, Mint, Vanilla",257,2024-05-02,50% Off Clearance
2024-03-04,"Herbal Leaves, Ice Cream, Tea, Beans",183,2024-04-03,50% Off Clearance
2024-03-05,"Eggs, Cardamom, Nuts",458,2024-05-04,5% Off
2024-03-06,"Eggs, Cinnamon, Ice Cream, Vanilla",146,2024-05-05,Bundle Deal
2024-03-07,"Mint, Cheese",137,2024-03-21,Buy 1 Get 1
2024-03-08,"Green Tea, Tomato Sauce",497,2024-04-07,Bundle Deal
2024-03-09,"Pasta Sauce, Chocolate",255,2024-05-08,Loyalty Discount
2024-03-10,"Cheese, Herbal Leaves, Green Tea, Eggs",299,2024-04-09,Buy 1 Get 1
2024-03-11,Vanilla,143,2024-05-10,Flash Sale
2024-03-12,Nuts,245,2024-05-11,5% Off
2024-03-13,"Ice Cream, Cinnamon, Pasta Sauce",380,2024-04-12,Buy 1 Get 1
2024-03-14,"Cream, Tomato Sauce, Sugar",107,2024-05-13,Loyalty Discount
2024-03-15,"Tea, Mint, Ice Cream",138,2024-04-14,Bundle Deal
2024-03-16,"Coffee Beans, Chocolate, Cream",455,2024-05-15,Flash Sale
2024-03-17,"Milk, Green Tea, Berries",101,2024-04-16,Free Shipping
2024-03-18,Beans,139,2024-04-17,10% Off
2024-03-19,Chocolate,310,2024-05-18,Seasonal Offer
2024-03-20,"Ice Cream, Mint",323,2024-04-19,Flash Sale
2024-03-21,"Vegetables, Sugar",454,2024-05-20,5% Off
2024-03-22,Beans,276,2024-04-21,Buy 1 Get 1
2024-03-23,"Lemon, Milk, Orange",420,2024-03-30,Seasonal Offer
2024-03-24,"Green Tea, Ice Cream, Mint",345,2024-04-23,10% Off
2024-03-25,Chocolate,433,2024-05-24,Loyalty Discount
2024-03-26,Eggs,339,2024-04-09,50% Off Clearance
